Date,Time,Visitor,PTS Visitor,Home,PTS Home
2023-10-24,7:30p,Los Angeles Lakers,107,Denver Nuggets,119
2023-10-24,10:00p,Phoenix Suns,108,Golden State Warriors,104
2023-10-25,7:00p,Houston Rockets,86,Orlando Magic,116
2023-10-25,7:00p,Boston Celtics,108,New York Knicks,104
2023-10-25,7:00p,Washington Wizards,120,Indiana Pacers,143
2023-10-25,7:00p,Atlanta Hawks,110,Charlotte Hornets,116
2023-10-25,7:30p,Detroit Pistons,102,Miami Heat,103
2023-10-25,7:30p,Minnesota Timberwolves,94,Toronto Raptors,97
2023-10-25,7:30p,Cleveland Cavaliers,114,Brooklyn Nets,113
2023-10-25,8:00p,New Orleans Pelicans,111,Memphis Grizzlies,104
2023-10-25,8:00p,Oklahoma City Thunder,124,Chicago Bulls,104
2023-10-25,9:00p,Sacramento Kings,130,Utah Jazz,114
2023-10-25,9:30p,Dallas Mavericks,126,San Antonio Spurs,119
2023-10-25,10:30p,Portland Trail Blazers,111,Los Angeles Clippers,123
2023-10-26,7:30p,Philadelphia 76ers,117,Milwaukee Bucks,118
2023-10-26,10:00p,Phoenix Suns,95,Los Angeles Lakers,100
2023-10-27,7:00p,Denver Nuggets,108,Memphis Grizzlies,104
2023-10-27,7:00p,Detroit Pistons,111,Charlotte Hornets,99
2023-10-27,7:30p,New York Knicks,126,Atlanta Hawks,120
2023-10-27,7:30p,Oklahoma City Thunder,108,Cleveland Cavaliers,105
2023-10-27,7:30p,Miami Heat,111,Boston Celtics,119
2023-10-27,8:00p,Toronto Raptors,103,Chicago Bulls,104
2023-10-27,8:00p,Houston Rockets,122,San Antonio Spurs,126
2023-10-27,8:30p,Brooklyn Nets,120,Dallas Mavericks,125
2023-10-27,9:30p,Los Angeles Clippers,118,Utah Jazz,120
2023-10-27,10:00p,Orlando Magic,102,Portland Trail Blazers,97
2023-10-27,10:00p,Golden State Warriors,122,Sacramento Kings,114
2023-10-28,7:00p,Chicago Bulls,102,Detroit Pistons,118
2023-10-28,7:00p,Memphis Grizzlies,106,Washington Wizards,113
2023-10-28,7:00p,New York Knicks,87,New Orleans Pelicans,96
2023-10-28,7:30p,Indiana Pacers,125,Cleveland Cavaliers,113
2023-10-28,7:30p,Philadelphia 76ers,114,Toronto Raptors,107
2023-10-28,8:00p,Miami Heat,90,Minnesota Timberwolves,106
2023-10-28,10:00p,Utah Jazz,104,Phoenix Suns,126
2023-10-29,3:30p,Denver Nuggets,128,Oklahoma City Thunder,95
2023-10-29,7:00p,Golden State Warriors,106,Houston Rockets,95
2023-10-29,7:00p,Atlanta Hawks,127,Milwaukee Bucks,110
2023-10-29,7:30p,Portland Trail Blazers,98,Philadelphia 76ers,126
2023-10-29,9:00p,San Antonio Spurs,83,Los Angeles Clippers,123
2023-10-29,9:00p,Los Angeles Lakers,127,Sacramento Kings,132
2023-10-30,7:00p,Chicago Bulls,112,Indiana Pacers,105
2023-10-30,7:00p,Boston Celtics,126,Washington Wizards,107
2023-10-30,7:00p,Brooklyn Nets,133,Charlotte Hornets,121
2023-10-30,7:30p,Portland Trail Blazers,99,Toronto Raptors,91
2023-10-30,7:30p,Minnesota Timberwolves,113,Atlanta Hawks,127
2023-10-30,8:00p,Dallas Mavericks,125,Memphis Grizzlies,110
2023-10-30,8:00p,Miami Heat,114,Milwaukee Bucks,122
2023-10-30,8:00p,Golden State Warriors,130,New Orleans Pelicans,102
2023-10-30,8:00p,Detroit Pistons,112,Oklahoma City Thunder,124
2023-10-30,9:00p,Utah Jazz,102,Denver Nuggets,110
2023-10-30,10:30p,Orlando Magic,103,Los Angeles Lakers,106
2023-10-31,7:30p,New York Knicks,109,Cleveland Cavaliers,91
2023-10-31,10:00p,San Antonio Spurs,115,Phoenix Suns,114
2023-10-31,10:30p,Orlando Magic,102,Los Angeles Clippers,118
2023-11-01,7:00p,Portland Trail Blazers,110,Detroit Pistons,101
2023-11-01,7:00p,Milwaukee Bucks,111,Toronto Raptors,130
2023-11-01,7:30p,Washington Wizards,121,Atlanta Hawks,130
2023-11-01,7:30p,Indiana Pacers,104,Boston Celtics,155
2023-11-01,7:30p,Brooklyn Nets,109,Miami Heat,105
2023-11-01,7:30p,Cleveland Cavaliers,95,New York Knicks,89
2023-11-01,7:30p,New Orleans Pelicans,110,Oklahoma City Thunder,106
2023-11-01,8:00p,Charlotte Hornets,119,Houston Rockets,128
2023-11-01,8:00p,Denver Nuggets,89,Minnesota Timberwolves,110
2023-11-01,8:30p,Chicago Bulls,105,Dallas Mavericks,114
2023-11-01,9:00p,Memphis Grizzlies,109,Utah Jazz,133
2023-11-01,10:00p,Sacramento Kings,101,Golden State Warriors,102
2023-11-01,10:00p,Los Angeles Clippers,125,Los Angeles Lakers,130
2023-11-02,7:00p,Toronto Raptors,99,Philadelphia 76ers,114
2023-11-02,8:00p,Detroit Pistons,116,New Orleans Pelicans,125
2023-11-02,9:00p,Orlando Magic,115,Utah Jazz,113
2023-11-02,10:00p,San Antonio Spurs,132,Phoenix Suns,121
2023-11-03,7:00p,Cleveland Cavaliers,116,Indiana Pacers,121
2023-11-03,7:30p,New York Knicks,105,Milwaukee Bucks,110
2023-11-03,8:00p,Brooklyn Nets,109,Chicago Bulls,107
2023-11-03,8:00p,Washington Wizards,114,Miami Heat,121
2023-11-03,8:00p,Golden State Warriors,141,Oklahoma City Thunder,139
2023-11-03,10:00p,Dallas Mavericks,114,Denver Nuggets,125
2023-11-03,10:00p,Memphis Grizzlies,113,Portland Trail Blazers,115
2023-11-04,1:00p,Phoenix Suns,100,Philadelphia 76ers,112
2023-11-04,7:00p,Charlotte Hornets,125,Indiana Pacers,124
2023-11-04,7:00p,Atlanta Hawks,123,New Orleans Pelicans,105
2023-11-04,7:00p,Los Angeles Lakers,101,Orlando Magic,120
2023-11-04,8:00p,Boston Celtics,124,Brooklyn Nets,114
2023-11-04,8:00p,Sacramento Kings,89,Houston Rockets,107
2023-11-04,8:00p,Utah Jazz,95,Minnesota Timberwolves,123
2023-11-04,9:00p,Chicago Bulls,101,Denver Nuggets,123
2023-11-05,3:00p,Phoenix Suns,120,Detroit Pistons,106
2023-11-05,3:30p,Toronto Raptors,123,San Antonio Spurs,116
2023-11-05,6:00p,Golden State Warriors,104,Cleveland Cavaliers,115
2023-11-05,7:30p,Charlotte Hornets,118,Dallas Mavericks,124
