Date,Time,Visitor,PTS Visitor,Home,PTS Home
2023-10-24,7:30p,Los Angeles Lakers,107.0,Denver Nuggets,119.0
2023-10-24,10:00p,Phoenix Suns,108.0,Golden State Warriors,104.0
2023-10-25,7:00p,Houston Rockets,86.0,Orlando Magic,116.0
2023-10-25,7:00p,Boston Celtics,108.0,New York Knicks,104.0
2023-10-25,7:00p,Washington Wizards,120.0,Indiana Pacers,143.0
2023-10-25,7:00p,Atlanta Hawks,110.0,Charlotte Hornets,116.0
2023-10-25,7:30p,Detroit Pistons,102.0,Miami Heat,103.0
2023-10-25,7:30p,Minnesota Timberwolves,94.0,Toronto Raptors,97.0
2023-10-25,7:30p,Cleveland Cavaliers,114.0,Brooklyn Nets,113.0
2023-10-25,8:00p,New Orleans Pelicans,111.0,Memphis Grizzlies,104.0
2023-10-25,8:00p,Oklahoma City Thunder,124.0,Chicago Bulls,104.0
2023-10-25,9:00p,Sacramento Kings,130.0,Utah Jazz,114.0
2023-10-25,9:30p,Dallas Mavericks,126.0,San Antonio Spurs,119.0
2023-10-25,10:30p,Portland Trail Blazers,111.0,Los Angeles Clippers,123.0
2023-10-26,7:30p,Philadelphia 76ers,117.0,Milwaukee Bucks,118.0
2023-10-26,10:00p,Phoenix Suns,95.0,Los Angeles Lakers,100.0
2023-10-27,7:00p,Denver Nuggets,108.0,Memphis Grizzlies,104.0
2023-10-27,7:00p,Detroit Pistons,111.0,Charlotte Hornets,99.0
2023-10-27,7:30p,New York Knicks,126.0,Atlanta Hawks,120.0
2023-10-27,7:30p,Oklahoma City Thunder,108.0,Cleveland Cavaliers,105.0
2023-10-27,7:30p,Miami Heat,111.0,Boston Celtics,119.0
2023-10-27,8:00p,Toronto Raptors,103.0,Chicago Bulls,104.0
2023-10-27,8:00p,Houston Rockets,122.0,San Antonio Spurs,126.0
2023-10-27,8:30p,Brooklyn Nets,120.0,Dallas Mavericks,125.0
2023-10-27,9:30p,Los Angeles Clippers,118.0,Utah Jazz,120.0
2023-10-27,10:00p,Orlando Magic,102.0,Portland Trail Blazers,97.0
2023-10-27,10:00p,Golden State Warriors,122.0,Sacramento Kings,114.0
2023-10-28,7:00p,Chicago Bulls,102.0,Detroit Pistons,118.0
2023-10-28,7:00p,Memphis Grizzlies,106.0,Washington Wizards,113.0
2023-10-28,7:00p,New York Knicks,87.0,New Orleans Pelicans,96.0
2023-10-28,7:30p,Indiana Pacers,125.0,Cleveland Cavaliers,113.0
2023-10-28,7:30p,Philadelphia 76ers,114.0,Toronto Raptors,107.0
2023-10-28,8:00p,Miami Heat,90.0,Minnesota Timberwolves,106.0
2023-10-28,10:00p,Utah Jazz,104.0,Phoenix Suns,126.0
2023-10-29,3:30p,Denver Nuggets,128.0,Oklahoma City Thunder,95.0
2023-10-29,7:00p,Golden State Warriors,106.0,Houston Rockets,95.0
2023-10-29,7:00p,Atlanta Hawks,127.0,Milwaukee Bucks,110.0
2023-10-29,7:30p,Portland Trail Blazers,98.0,Philadelphia 76ers,126.0
2023-10-29,9:00p,San Antonio Spurs,83.0,Los Angeles Clippers,123.0
2023-10-29,9:00p,Los Angeles Lakers,127.0,Sacramento Kings,132.0
2023-10-30,7:00p,Chicago Bulls,112.0,Indiana Pacers,105.0
2023-10-30,7:00p,Boston Celtics,126.0,Washington Wizards,107.0
2023-10-30,7:00p,Brooklyn Nets,133.0,Charlotte Hornets,121.0
2023-10-30,7:30p,Portland Trail Blazers,99.0,Toronto Raptors,91.0
